,questions,class0,predicted
0,اذان صبح امروز تهران چه ساعتی است؟,2,2
1,اذان ظهر فردای تهران چه ساعتی است؟,2,2
2,اذان ظهر دیروز تهران چه ساعتی بود؟,2,2
3,اذان مغرب دیروز قم چه ساعتی بود؟,2,2
4,اذان ظهر پس فردای تهران چه ساعتی است؟,2,2
5,نیمه شب شرعی تهران چه ساعتی است؟,2,2
6,اذان صبح مسکو چه ساعتی است؟,2,2
7,طلوع آفتاب مسکو چه ساعتی است؟,2,2
8,غروب آفتاب مشهد چه ساعتی است؟,2,2
9,غروب آفتاب کابل چه ساعتی است؟,2,2
10,اذان مغرب پریروز قم چه ساعتی بود؟,2,2
11,اذان ظهر ۴ روز پیش قم چه ساعتی بود؟,2,2
12,اذان ظهر هفته‌ی قبل شیراز چه ساعتی بود؟,2,2
13,اذان ظهر هفته‌ی بعد شیراز چه ساعتی است؟,2,2
14,اذان صبح امروز دوحه چه ساعتی است؟,2,2
15,اذان ظهر امروز بغداد چه ساعتی است؟,2,2
16,اذان ظهر امروز تهران چه زمانی است؟,2,2
17,ساعت اذان ظهر بیروت؟,2,2
18,اذان ظهر بیروت چه زمانی است؟,2,2
19,اذان ظهر فردای تورنتو چه زمانی است؟,2,2
20,سوال تصادفی امروز چیست؟,-1,-1
21,چای چه زمانی به تهران می‌رسد؟,-1,3
22,آیا سنگ با خاک مناسبت دارد؟,-1,4
23,آیا کتاب تاریخ خوانده‌ای؟,-1,4
24,قیمت ماشین لباسشویی در چه ساعتی گران‌تر است؟,-1,3
25,ارزان‌ترین خودرو تولید داخل کدام خودرو است؟,-1,-1
26,قیمت امروز دلار چقدر است؟,-1,-1
27,امروز در چه ساعتی دلار بالاترین قیمت خود را خواهد داشت؟,-1,3
28,اذان صبح امروز تهران چه ساعتی است؟,2,2
29,واکسن فایز در چه دمایی باید نگهداری شود؟,-1,-1
30,ساعت در تهران چند است؟,3,3
31,در نیویورک چه زمانی از روز است؟,3,3
32,ساعت به وقت ابوظبی چند است؟,3,3
33,الان به وقت تهران چه زمانی از روز است؟,3,3
34,الان در سنگاپور چه ساعتی در شبانه روز است؟,3,3
35,الان در استکهلم ساعت دقیقا چند است؟,3,3
36,در این لحظه ساعت مسکو چند است؟,3,3
37,ساعت به وقت بیروت چند است؟,3,3
38,در تاشکند، این لحظه چه زمانی از روز است؟,3,3
39,ساعت اسلام آباد چند است؟,3,3
40,ساعت به طور دقیق در استانبول چند است؟,3,3
41,ساعت فعلی در تورنتو؟,3,3
42,در کابل چه زمانی از روز است؟,3,3
43,ساعت فعلی ونکوور چند است؟,3,3
44,ساعت در شهر زوریخ چند است؟,3,3
45,ساعت دبی در این لحظه چند است؟,3,3
46,ساعت در لس آنجلس چند است؟,3,3
47,اکنون در ریاض چه زمانی از روز است؟,3,3
48,ساعت کنونی آمستردام چند است؟,3,3
49,اکنون در شهر باکو ساعت چند است؟,3,3
50,دمای هوای تهران امروز چقدر است؟,1,1
51,دمای هوای مشهد فردا چقدر است؟,1,1
52,دمای هوای فردای شیراز ساعت ۱۴:۲۵ چقدر است؟,1,1
53,دمای هوای پس فردای قزوین ساعت ۱۶:۳۲ چقدر است؟,1,1
54,دمای هوای دو روز بعد زنجان ساعت ۱۹:۱۰ چقدر است؟,1,1
55,دمای هوای ۳ روز بعد تهران ساعت ۲۱:۵۰ چقدر است؟,1,1
56,دمای هوای سه روز بعد تبریز ساعت ۱۹:۱۰ چقدر است؟,1,1
57,دمای هوای چهار روز بعد آبادان چقدر است؟,1,1
58,دمای هوای تهران ساعت ۹ و ۱۰ دقیقه چند درجه است؟,1,1
59,دمای هوای دو روز بعد گرگان چند درجه سانتیگراد است؟,1,1
60,درجه حرارت هوای دو روز بعد یزد ساعت ۱۹:۱۰ چقدر است؟,1,1
61,اندازه گرمی یا سردی هوای دو روز بعد همدان ساعت ۲۱:۱۰ چقدر است؟,1,1
62,اندازه گرمی یا سردی هوای دو روز بعد کاشان ساعت ۱۹:۱۹ چند درجه است؟,1,1
63,اندازه گرمی یا سردی هوای دو روز بعد تهران ساعت ۱۸:۵۱ چند درجه سانتیگراد است؟,1,1
64,درجه حرارت هوای دو روز بعد استانبول ساعت ۲۱:۱۰ چند درجه است؟,1,1
65,اندازه گرمی یا سردی هوای دو روز بعد باکو ساعت ۱۸:۱۰ چند درجه سانتیگراد است؟,1,1
66,اندازه دمای هوای پنچ روز بعد تهران ساعت ۱۹:۱۰ چقدر است؟,1,1
67,اندازه گرمی یا سردی هوای ۳ روز بعد تهران ساعت ۱۸:۲۰ چقدر است؟,1,1
68,اندازه دمای هوای ۴ روز بعد کرمان ساعت ۱۹:۳۱ چند درجه است؟,1,1
69,اندازه دمای هوای دو روز بعد اردبیل ساعت ۲۱:۱۰ چند درجه سانتیگراد است؟,1,1
70,اندازه دمای هوای دو روز بعد شهر ساری ساعت ۴:۱۰ چند درجه است؟,1,1
71,دمای هوای دو روز بعد شهر کرمانشاه ساعت ۱۳:۵۸ چند درجه است؟,1,1
72,درجه گرمای هوای دو روز بعد نیویورک ساعت ۲:۱۰ چقدر است؟,1,1
73,درجه گرمای هوای دو روز بعد تورنتو ساعت ۶:۲۰ چند درجه است؟,1,1
74,درجه گرمای هوای دو روز بعد لندن ساعت ۱۹:۱۸ چند درجه سانتیگراد است؟,1,1
75,درجه گرمای هوای دو روز بعد پاریس؟,1,1
76,دمای هوای امروز مسکو؟,1,1
77,اندازه‌ی گرمی یا سردی دمای امروز توکیو؟,1,1
78,درجه دمای هوای دو روز بعد سئول ساعت ۱۵:۱۵ چقدر است؟,1,1
79,درجه دمای هوای ۳ روز دیگر رم ساعت ۱۶:۱۰ چند درجه است؟,1,1
80,دمای هوای روز بعدی در تهران ساعت ۱:۱۰ چقدر است؟,1,1
81,گرمی هوای فردای تهران ساعت ۱۹:۱ چقدر است؟,1,1
82,دمای هوای دو روز بعد رشت ساعت ۹ و ۱ دقیقه به چه میزان است؟,1,1
