,sentence,class
0,آیا فردا هوا ابری است,0
1,هوا فردا آلودست,0
2,شاخص آلودگی چنده,0
3,یعنی فردا بارون میباره,0
4,پس کی برف میباره,0
5,هواشناسی در مورد آب و هوا چی گفته,0
6,آلودگی هوای تهران به چه علت است,0
7,هوای نسبی ایران نسبت به روز گذشته چه تغییری کرده است,0
8,دمای هوا چقدر است,0
9,آیا هفته‌ی آینده باران می‌بارد,0
10,تغییرات آب و هوا نسبت به هفته‌ی گذشته چگونه است,0
11,آیا فردا هوا ابریست,0
12,آیا فردا باران میبارد,0
13,امروز هوا سرد‌تر است,0
14,هواشناسی در مورد هوای فردا چه میگوید,0
15,آیا هوا آفتابی است,0
16,آیا فردا هوای کرمان سرد میشود,0
17,آیا آب و هوای کشور نروژ مثل ایران است,0
18,کره‌ی زمین روز به روز گرم‌تر می‌شود,0
19,آیا هوا برای پیاده روی مناسب است,0
20,سرد‌ترین روز سال چه روزی است,0
21,هوای برلین فردا بارونی است,0
22,هوا امروز سرد بود,0
23,هوا سرد شده و ملت تازگیا دارن قربون صدقه برف میرن,0
24,فردا هم هوا مثل امروز بارونیه,0
25,پارسال انقدر هوا سرد نبود بود,0
26,مثل اینکه امسال هوای تهران قراره از همه‌ی سال‌های قبلی سردتر باشه بارش برف سال هشتاد و پنج سنگینتر بود یا بارشهای برف امسال قراره سنگینتر باشه,0
27,طولانیترین بارش بارانی که تا حالا بوده چند روز بوده,0
28,بیشترین ارتفاعی که تا بحال برف آمده چقدر بوده است,0
29,هوا فردا چطور است,0
30,هوای آمستردام معمولا چگونه ست,0
31,آیا در پنج روز آتی در تهران برف خواهد آمد,0
32,چتر لازم دارم,0
33,بارون میاد,0
34,رگبار می‌زنه,0
35,آیا سه شنبه باران می‌بارد,0
36,آیا هوای بارانی را دوست داری,0
37,توی این هوا بهتره چه لباسی بپوشیم,0
38,هوا چطوره,0
39,هوای گرم بهتره یا سرد,0
40,تو هوای گرم لباس روشن میپوشن,0
41,هوای ایران گرم و خشکه یا سرد و مرطوب,0
42,هوای بارونی طرفدار بیشتری داره یا هوای آفتابی,0
43,آب و هوا ی کرمان بطور کلی چگونه است,0
44,میانگین بارندگی سالانه در تهران چقدر است,0
45,فردا هوا برفی خواهد بود,0
46,هوا اگه بارونی بود میای بریم بیرون,0
47,شنیدم هفته بعد هوا قراره گرم بشه درسته,0
48,چه قدر هوا سرد شده,0
49,فردا هوا سرد است,0
50,هوای سرد برای کاشت چه نوع درختی متناسب است,0
51,اب و هوای این منطقه چگونه است,0
52,هوای تهران در هفته پیش رو چگونه است,0
53,هوا امروز سرد بود,0
54,چرا هوای تهران همیشه آلوده است,0
55,آیا هوای تهران پاکیزه خواهد بود روزی,0
56,آیا هوای تهران را میتوان تحمل کرد,0
57,بنظرت بهترین آب و هوا برای کدوم فصله,0
