,questions,class0
0,اذان صبح امروز تهران چه ساعتی است؟,1
1,اذان ظهر فردای تهران چه ساعتی است؟,1
2,اذان ظهر دیروز تهران چه ساعتی بود؟,1
3,اذان مغرب دیروز قم چه ساعتی بود؟,1
4,اذان ظهر پس فردای تهران چه ساعتی است؟,1
5,نیمه شب شرعی تهران چه ساعتی است؟,1
6,اذان صبح مسکو چه ساعتی است؟,1
7,طلوع آفتاب مسکو چه ساعتی است؟,1
8,غروب آفتاب مشهد چه ساعتی است؟,1
9,غروب آفتاب کابل چه ساعتی است؟,1
10,اذان مغرب پریروز قم چه ساعتی بود؟,1
11,اذان ظهر ۴ روز پیش قم چه ساعتی بود؟,1
12,اذان ظهر هفته‌ی قبل شیراز چه ساعتی بود؟,1
13,اذان ظهر هفته‌ی بعد شیراز چه ساعتی است؟,1
14,اذان صبح امروز دوحه چه ساعتی است؟,1
15,اذان ظهر امروز بغداد چه ساعتی است؟,1
16,اذان ظهر امروز تهران چه زمانی است؟,1
17,ساعت اذان ظهر بیروت؟,1
18,اذان ظهر بیروت چه زمانی است؟,1
19,اذان ظهر فردای تورنتو چه زمانی است؟,1
20,سوال تصادفی امروز چیست؟,4
21,چای چه زمانی به تهران می‌رسد؟,4
22,آیا سنگ با خاک مناسبت دارد؟,4
23,آیا کتاب تاریخ خوانده‌ای؟,4
24,قیمت ماشین لباسشویی در چه ساعتی گران‌تر است؟,4
25,ارزان‌ترین خودرو تولید داخل کدام خودرو است؟,4
26,قیمت امروز دلار چقدر است؟,4
27,امروز در چه ساعتی دلار بالاترین قیمت خود را خواهد داشت؟,4
28,اذان صبح امروز تهران چه ساعتی است؟,1
29,واکسن فایز در چه دمایی باید نگهداری شود؟,4
30,ساعت در تهران چند است؟,2
31,در نیویورک چه زمانی از روز است؟,2
32,ساعت به وقت ابوظبی چند است؟,2
33,الان به وقت تهران چه زمانی از روز است؟,2
34,الان در سنگاپور چه ساعتی در شبانه روز است؟,2
35,الان در استکهلم ساعت دقیقا چند است؟,2
36,در این لحظه ساعت مسکو چند است؟,2
37,ساعت به وقت بیروت چند است؟,2
38,در تاشکند، این لحظه چه زمانی از روز است؟,2
39,ساعت اسلام آباد چند است؟,2
40,ساعت به طور دقیق در استانبول چند است؟,2
41,ساعت فعلی در تورنتو؟,2
42,در کابل چه زمانی از روز است؟,2
43,ساعت فعلی ونکوور چند است؟,2
44,ساعت در شهر زوریخ چند است؟,2
45,ساعت دبی در این لحظه چند است؟,2
46,ساعت در لس آنجلس چند است؟,2
47,اکنون در ریاض چه زمانی از روز است؟,2
48,ساعت کنونی آمستردام چند است؟,2
49,اکنون در شهر باکو ساعت چند است؟,2
50,دمای هوای تهران امروز چقدر است؟,0
51,دمای هوای مشهد فردا چقدر است؟,0
52,دمای هوای فردای شیراز ساعت ۱۴:۲۵ چقدر است؟,0
53,دمای هوای پس فردای قزوین ساعت ۱۶:۳۲ چقدر است؟,0
54,دمای هوای دو روز بعد زنجان ساعت ۱۹:۱۰ چقدر است؟,0
55,دمای هوای ۳ روز بعد تهران ساعت ۲۱:۵۰ چقدر است؟,0
56,دمای هوای سه روز بعد تبریز ساعت ۱۹:۱۰ چقدر است؟,0
57,دمای هوای چهار روز بعد آبادان چقدر است؟,0
58,دمای هوای تهران ساعت ۹ و ۱۰ دقیقه چند درجه است؟,0
59,دمای هوای دو روز بعد گرگان چند درجه سانتیگراد است؟,0
60,درجه حرارت هوای دو روز بعد یزد ساعت ۱۹:۱۰ چقدر است؟,0
61,اندازه گرمی یا سردی هوای دو روز بعد همدان ساعت ۲۱:۱۰ چقدر است؟,0
62,اندازه گرمی یا سردی هوای دو روز بعد کاشان ساعت ۱۹:۱۹ چند درجه است؟,0
63,اندازه گرمی یا سردی هوای دو روز بعد تهران ساعت ۱۸:۵۱ چند درجه سانتیگراد است؟,0
64,درجه حرارت هوای دو روز بعد استانبول ساعت ۲۱:۱۰ چند درجه است؟,0
65,اندازه گرمی یا سردی هوای دو روز بعد باکو ساعت ۱۸:۱۰ چند درجه سانتیگراد است؟,0
66,اندازه دمای هوای پنچ روز بعد تهران ساعت ۱۹:۱۰ چقدر است؟,0
67,اندازه گرمی یا سردی هوای ۳ روز بعد تهران ساعت ۱۸:۲۰ چقدر است؟,0
68,اندازه دمای هوای ۴ روز بعد کرمان ساعت ۱۹:۳۱ چند درجه است؟,0
69,اندازه دمای هوای دو روز بعد اردبیل ساعت ۲۱:۱۰ چند درجه سانتیگراد است؟,0
70,اندازه دمای هوای دو روز بعد شهر ساری ساعت ۴:۱۰ چند درجه است؟,0
71,دمای هوای دو روز بعد شهر کرمانشاه ساعت ۱۳:۵۸ چند درجه است؟,0
72,درجه گرمای هوای دو روز بعد نیویورک ساعت ۲:۱۰ چقدر است؟,0
73,درجه گرمای هوای دو روز بعد تورنتو ساعت ۶:۲۰ چند درجه است؟,0
74,درجه گرمای هوای دو روز بعد لندن ساعت ۱۹:۱۸ چند درجه سانتیگراد است؟,0
75,درجه گرمای هوای دو روز بعد پاریس؟,0
76,دمای هوای امروز مسکو؟,0
77,اندازه‌ی گرمی یا سردی دمای امروز توکیو؟,0
78,درجه دمای هوای دو روز بعد سئول ساعت ۱۵:۱۵ چقدر است؟,0
79,درجه دمای هوای ۳ روز دیگر رم ساعت ۱۶:۱۰ چند درجه است؟,0
80,دمای هوای روز بعدی در تهران ساعت ۱:۱۰ چقدر است؟,0
81,گرمی هوای فردای تهران ساعت ۱۹:۱ چقدر است؟,0
82,دمای هوای دو روز بعد رشت ساعت ۹ و ۱ دقیقه به چه میزان است؟,0
83,درجه دمای هوای دو روز بعد سمنان ساعت ۹:۱۱ به چه میزان است؟,0
84,گرمی یا سردی هوای دو روز بعد تاشکند ساعت ۱:۲۰ به چه میزان است؟,0
85,درجه حرارت هوای دو روز بعد پکن ساعت ۲۰:۱۰ به چه میزان است؟,0
86,اندازه دمای هوای دو روز بعد تهران به چه میزان است؟,0
87,اندازه گرمی هوای دو روز بعد تهران ساعت ۸ و ۲۰ دقیقه به چه میزان است؟,0
88,اندازه گرمی یا سردی هوای دو روز بعد تهران ساعت ۸ و ۲۰ دقیقه‌ی شب به چه میزان است؟,0
89,اندازه دمای هوای دو روز بعد تهران ساعت ۱۹:۱۰ به چه میزان است؟,0
90,روز حافظ در سال ۹۹ چه روزی است؟,3
91,روز حافظ در سال ۱۳۹۶ چه روزی است؟,3
92,امسال سالروز شهادت سردار حاج قاسم سلیمانی چه روزی است؟,3
93,شهادت حضرت فاطمه زهرا سلام الله علیها چه روزی است؟,3
94,مناسبت روز ۱۸ اسفند امسال چیست؟,3
95,مناسبت ۱۸ اسفند سال بعد چیست؟,3
96,کدام روز از سال ۱۴۰۳ روز اصناف است؟,3
97,در سال ۹۷ روز جهانی محیط زیست چه روزی است؟,3
98,۲۲ بهمن امسال به میلادی؟,3
