Class1-Q,Class1-W,Class2-Q,Class2-W,Class3-Q,Class3-W,Class4-Q,Class4-W
آیا فردا هوا ابری است؟,آیا - هوا - فردا - ابری,چه زمانی اذان مغرب شروع می‌شود؟,زمان - اذان - مغرب,ساعت چنده؟,ساعت,میلاد پیامبر چه زمانی است؟,میلاد - پیامبر - زمان
"هوا فردا آلودست ؟
شاخص آلودگی چنده؟
یعنی فردا بارون میباره؟
پس کی برف میباره؟
هواشناسی در مورد آب و هوا چی گفته؟",برف - بارون - آلودگی - فردا - هواشناسی,"اذان کیه؟
طلوع آفتاب ساعت چنده؟
اذان ظهرو گفتن؟
ساعت چند افطار میشه؟
چقدر مونده تا غروب آفتاب؟",اذان- غروب- افطار-طلوع-ظهر,"الان تو مونیخ ساعت چنده؟
اختلاف زمانیمون با استانبول چقدره؟
ساعت چنده؟
چقدر مونده تا ۲؟
الان کانادا شبه یا روز؟",شب - روز - ساعت - اختلاف زمانی - الان ,"امروز چندمه؟
چند روز مونده تا عید؟
وقت دکترت واسه چند شنبه بود؟
تعطیلی بعدی کیه؟
سیزده مهر چند شنبست؟
",چند شنبه-تعطیلی-روز-چندمه؟-وقت
شب است.,شب,قبل از شب میباشد,قبل - شب,الان ۲۳ و ۲۳ دقیقه است.,۲۳ - ۲۳,چهارشنبه ۸ آذر,۴ - ۸ - ۹
"آلودگی هوای تهران به چه علت است؟
هوای نسبی ایران نسبت به روز گذشته چه تغییری کرده است؟
دمای هوا چقدر است؟
آیا هفته ی آینده باران می‌بارد؟
تغییرات آب و هوا نسبت به هفته ی گذشته چگونه است؟",هوا - تهران - ایران - دما - باران,"اذان صبح چه ساعتی‌ست؟
اختلاف زمانی اذان ظهر شهر تهران و مشهد چقدر است؟",اذان - صبح - ظهر - تهران - مشهد - اختلاف,"اختلاف زمانی ساعت ایران و ترکیه چقدر است؟
امروز چندم است؟
زمان سال تحویل سال ۱۴۰۰ چه ساعتی است؟",اختلاف - ایران - ترکیه - امروز - سال - ۱۴۰۰,"تاریخ وفات امام خمینی(ره) چه روزی است؟
تاریخ پیروزی جمهوری اسلامی چیست؟
شاه کی ایران را ترک کرد؟
امام خامنه‌ای (ره) در چه تاریخی رهبر ایران شد؟
امام خمینی در چه تاریخی ایران را ترک می‌کند؟",وفات - خمینی - تاریخ - شاه - خامنه‌ای - رهبر - ترک - پیروزی
"آیا فردا هوا ابریست؟
آیا فردا باران میبارد؟!
امروز هوا سرد تر است.
هواشناسی در مورد هوای فردا چه میگوید ؟",هوا-هواشناسی- امروز- فردا - باران-  ابر,,,"چند ساعت تا غروب مانده ؟!
تهران چند ساعت با کابل اختلاف زمانی دارد؟
برای پرکردن فرم، چقدر زمان لازم است ؟
الان ساعت در تهران چند است؟",الان- زمان- ساعت,"امروز چندم ماه است؟
این ماه چند روز دارد؟
تاریخ امروز به میلادی چیست؟!
سه شنبه چندم ماه است؟",ماه- چندم- تاریخ
امیدوارم هوای دیزین هفته آینده برفی باشد,دیزین-شمشک-دربندسر-برف-بارش-پودر-ابر-باران,اذان صبح خیلی زود است,اذان-طلوع-افتاب-موذن,در دنیای تو ساعت چند است,ساعت-زمان-شیراز-اصفهان-تهران-اختلاف زمانی,هفته دیگر ,فردا-تعطیلی-امروز-دیروز-بین اتعطیلین-نوروز-کریسمس-وفات-قطل-بعثت
"آیا هوا آفتابی است؟
سایت هواشناسی را بررسی کرده‌ای؟
آیا برنامه‌ی هواشناسی را دیدی؟",هوا - آفتابی - هواشناسی,"چه ساعتی غروب آفتاب به افق تهران است؟
چه ساعتی نیمه‌شب شرعی به افق تهران است؟",غروب - آفتاب - نیمه‌شب - شرعی - افق,"ساعت چند بیرون میروی؟
فوتبال چه ساعتی برگزار می‌شود؟",ساعت - چند,"رحلت پیامبر چه روزی است؟
ولادت حضرت علی چه روزی است؟
مبعث در کدام ماه قمری قرار دارد؟",رحلت - ولادت - مبعث - ماه - قمری
"آیا فردا هوای کرمان سرد میشود؟
چگونه وضعیت هوا را میتوان پیش بینی کرد؟
آیا آب و هوای کشور نروژ مثل ایران است؟
چرا در فصل زمستان پوست دست خشک میشود؟",آب هوا، سرد، زمستان، وضعیت,"منبع معتبر اعلام اوقات شرعی چیست؟
چه زمانی برای خواندن نماز صبح مناسب است؟
آیا اذان ظهر ساعت 12 است؟",اوقات، نماز، شرعی، اذان,"چند ساعت دیگر به کرمان میرسیم؟
آیا قرار امروز ساعت 4 است؟
عقربه ساعت شمار روی کدام عدد قرار دارد؟
کی ویروس کرونا تمام میشود؟",ساعت، قرار، عقربه، کی,"تولد تو کی است؟
آخرین جمعه این ماه چه تاریخی خواهد بود؟
آیا سه شنبه هفته دیگر تعطیل است؟
کدام ماه از سال 29 روز دارد؟",تولد، تاریخ، جمعه، تعطیل، ماه
,شب سرد میشه,صبح کی قضا میشه,غروب افتاب کیه,,الان اونجا ساعت چنده,اولین تعطیلی کیه ,
"کره‌ی زمین روز به روز گرم‌تر می‌شود.
آیا هوا برای پیاده روی مناسب است؟
سرد‌ترین روز سال چه روزی است؟
","کره - زمین - گرم‌
هوا - پیاده روی
سرد - روز - سال","نماز شب را باید چه زمانی بخوانیم؟
اذان صبح به افق تهران چه زمانی‌ست؟","نماز - شب - بخوانیم
اذان صبح - افق تهران - زمان","کی می‌آیی؟
چه زمانی برای رفتن بهتر است؟
فاصله‌ی زمانی تهران و مسکو چقدر است؟","کی
زمان - رفتن
فاصله‌ی زمانی - تهران - مسکو","تولّد علی کی بود؟
عید نزدیک است.
مهر ماه سرد‌تری‌است یا فروردین؟","تولّد
عید - نزدیک
مهر - ماه - سرد - فروردین"
