,sentense,class
0,آیا فردا هوا ابری است,1
1,هوا فردا آلودست,1
2,شاخص آلودگی چنده,1
3,یعنی فردا بارون میباره,1
4,پس کی برف میباره,1
5,هواشناسی در مورد آب و هوا چی گفته,1
6,شب است.,1
7,آلودگی هوای تهران به چه علت است,1
8,هوای نسبی ایران نسبت به روز گذشته چه تغییری کرده است,1
9,دمای هوا چقدر است,1
10,آیا هفته ی آینده باران می‌بارد,1
11,تغییرات آب و هوا نسبت به هفته ی گذشته چگونه است,1
12,آیا فردا هوا ابریست,1
13,آیا فردا باران میبارد,1
14,"امروز هوا سرد تر است.
هواشناسی در مورد هوای فردا چه میگوید",1
15,امیدوارم هوای دیزین هفته آینده برفی باشد,1
16,آیا هوا آفتابی است,1
17,سایت هواشناسی را بررسی کرده‌ای,1
18,آیا برنامه‌ی هواشناسی را دیدی,1
19,آیا فردا هوای کرمان سرد میشود,1
20,چگونه وضعیت هوا را میتوان پیش بینی کرد,1
21,آیا آب و هوای کشور نروژ مثل ایران است,1
22,چرا در فصل زمستان پوست دست خشک میشود,1
23,آیا فردا هوای کرمان سرد میشود,1
24,چگونه وضعیت هوا را میتوان پیش بینی کرد,1
25,آیا آب و هوای کشور نروژ مثل ایران است,1
26,چرا در فصل زمستان پوست دست خشک میشود,1
27,"کره‌ی زمین روز به روز گرم‌تر می‌شود.
آیا هوا برای پیاده روی مناسب است",1
28,سرد‌ترین روز سال چه روزی است,1
29,هوای برلین فردا  بارونی است,1
30,هوا امروز سرد بود,1
31,هوا سرد شده و ملت تازگیا دارن قربون صدقه برف میرن,1
32,فردا هم هوا مثل امروز بارونیه,1
33,پارسال انقدر هوا سرد نبود، بود,1
34,مثل اینکه امسال هوای تهران قراره از همه ی سال های قبلی سردتر باشه. بارش برف سال هشتاد و پنج سنگینتر بود، یا بارشهای برف امسال قراره سنگینتر باشه,1
35,طولانیترین بارش بارانی که تا حالا بوده، چند روز بوده,1
36,بیشترین ارتفاعی که تا بحال برف آمده چقدر بوده است,1
37,برای هوای فردا چه لباسی مناسب است,1
38,هوا فردا چطور است,1
39,هوای آمستردام معمولا چگونه ست,1
40,آیا هوا برای ماهیگیری مناسب است,1
41,آیا در پنج روز آتی ، در تهران برف خواهد آمد,1
42,چتر لازم دارم,1
43,بارون میاد,1
44,رگبار می‌زنه,1
45,"هوا خیلی خوبه.
هوا دو‌نفره‌س.",1
46,آیا سه شنبه باران می‌بارد,1
47,آلودگی هوای امروز چقدر است,1
48,این هوا برای سیگار زیادی عالی نیست,1
49,آیا هوای بارانی را دوست داری,1
50,توی این هوا بهتره چه لباسی بپوشیم,1
51,هوا چطوره,1
52,هوای گرم بهتره یا سرد,1
53,تو هوای گرم لباس روشن میپوشن,1
54,هوای ایران گرم و خشکه یا سرد و مرطوب,1
55,هوای بارونی طرفدار بیشتری داره یا هوای آفتابی,1
56,آب و هوا ی کرمان بطور کلی چگونه است,1
57,میانگین بارندگی سالانه در تهران چقدر است,1
58,"فردا هوا برفی خواهد بود . 
از هوای گرم بیزارم  
هوا اگه بارونی بود میای بریم بیرون",1
59,شنیدم هفته بعد هوا قراره گرم بشه ، درسته,1
60,"چه قدر هوا سرد شده
هوا هوای دو نفره است",1
61,فردا هوا سرد است,1
62,هوای سرد برای کاشت چه نوع درختی متناسب است,1
63,اب و هوای این منطقه چگونه است,1
64,هوای تهران در هفته پیش رو چگونه است,1
65,هوا امروز سرد بود,1
66,چرا هوای تهران همیشه آلوده است,1
67,آیا هوای تهران پاکیزه خواهد بود روزی,1
68,هوای قم چه کم از هوای تهران دارد,1
69,آیا آب تهران بهتر از هوای آن نیست,1
70,آیا هوای تهران را میتوان تحمل کرد,1
71,بنظرت بهترین آب و هوا برای کدوم فصله,1
72,آب و هوای مورد علاقت چیه,1
73,تو این آب و هوا لباس گرم نمی‌پوشی,1
74,آب و هوای امسال با پارسال خیلی فرق نداره,1
75,آب و هوای کدوم کشورو می‌پسندی,1
76,"آیا امروز باران آمد
دمای هوا شب ها به چند درجه می رسد
میاگین سرعت باد چقدر است
کجا برف آمده است
آفتابیست هوا یا گرفتست هنوز",1
77,آسمان امروز رشت ابری است,1
78,هوای ایران معتدل است.  آیا دیروز هوای نوشهر بارانی بود,1
79,هوای نوشهر بارانی است,1
80,هوا امروز چطوره,1
81,آیا تو هوای آفتابی را بیشتر از بارانی دوست داری,1
82,برای اخر هفته هواشناسی چه پیش بینی ای کرده,1
83,آلودگی هوای تهران رو به بهبود است یا نه,1
84,هواشناسی وضعیت استان‌های کشور رو چگونه اعلام کرد,1
85,چرا هوای تهران آلوده است,1
86,آیا هوای تهران آلوده است,1
87,فردا هوای اهواز چند درجه است,1
88,آیا هوای شوشتر گرم است,1
89,هوای قزوین در هفته ی آینده بارانی است,1
90,به نظرت هوای برفی قشگه,1
91,چرا امسال کمتر بارون اومد,1
92,هوای گرم رو بیشتر دوس داری یا هوای سرد,1
93,هوای شمال چطوریه,1
94,اگر بارون بیاد ترافیک میشه,1
95,به نظرت هوای برفی قشگه,1
96,چرا امسال کمتر بارون اومد,1
97,هوای گرم رو بیشتر دوس داری یا هوای سرد,1
98,هوای شمال چطوریه,1
99,اگر بارون بیاد ترافیک میشه,1
100,به نظرت هوای برفی قشگه,1
101,چرا امسال کمتر بارون اومد,1
102,هوای گرم رو بیشتر دوس داری یا هوای سرد,1
103,هوای شمال چطوریه,1
104,اگر بارون بیاد ترافیک میشه,1
105,آب و هوای دانشکاه آزاد تهران چگونه است,1
106,دمای شهر ایده‌آل شما برای زندگی چند درجه است,1
107,پیش‌بینی هواشناسی برای آب و هوای فردا چگونه است,1
108,آب و هوای آفتابی بهتر از آب و هوای ابری است,1
109,هوای نزدیک ظهر بهتر از دم غروب است,1
110,هوای شهر شما چگونه است,1
111,هوا اطراف شما هم سرد است,1
112,شنبه هفته آینده هوا چند درجه است,1
113,آب و هوا ساری در دو روز آینده چگونه است,1
114,شاخص آلودگی هوا تهران الان چقدر است,1
115,سرعت باد در البرز امروز چقد بود,1
116,رطوبت هوا گیلان در روز گذشته چقد بوده است,1
117,دمای هوا اهواز فردا چقدر پیش بینی میشود,1
118,آیا هوا فردا ابری است,1
119,پارسال همین تاریخ آب و هوای پاریس چگونه بود,1
120,کی باران در تهران باران می بارد,1
121,آیا هم اکنون رشت هم بارانی است,1
122,فردا صبح برف خواهد بارید,1
123,چقدر در طول آذرماه در تبریز باران بارید,1
124,کی باران در تهران باران می بارد,1
125,آیا هم اکنون رشت هم بارانی است,1
126,فردا صبح برف خواهد بارید,1
127,چقدر در طول آذرماه در تبریز باران بارید,1
128,بیرون هوا چطور بود,1
129,فردا بارونیه,1
130,دیروز هوای مشهد چگونه بود,1
131,جمعه هفته آینده هوای مشهد چگونه است,1
132,دوروز قبل هوای مشهد چند درجه بود,1
133,شما هم از هوای سرد متنفرید,1
134,الان اب و هوای جزایر مالیدیو چگونه است,1
135,پارسال سرد بود,1
136,امسال نسبت به پارسال سردتره,1
137,آیا فردا هوا ابریست,1
138,آیا فردا باران میبارد,1
139,"امروز هوا سرد تر است.
هواشناسی در مورد هوای فردا چه میگوید",1
140,کی قراره برف بیاد,1
141,"خیلی هوا دمه.
توی چه فصلی خوبه آدم بره سفر",1
142,ایا اب و هوا تا اخر سال قراره بارونی باشه,1
143,چرا الودگی هوا تموم نمیشه دلیلش چیه,1
144,چیشد میتونستیم برای همیشه از هوای پاک لذت ببریم و دیگه الوگدی نباشه,1
145,چرا انقد هوا الوده شده,1
146,بارون تا چندشنبه ادامه داره,1
147,پیشبینی وضعیت هوای تهران برای آخر هفته دیگر چگونه است,1
148,هوای کالیفرنیا خوبه,1
149,امسال تو ایران چند میلی متر بارون اومد,1
150,الان تهران هوا چند درجه است,1
151,گرم ترین شهر امروز جهان کجا بود,1
152,پر باران ترین سال سده اخیر در ایران چه سالیه,1
153,وضع کلی هوا چه طوریه,1
154,فردا هوا چطوریه,1
155,"هوا چقدر خوبه امروز.
عجب هوای دو نفره ای🤤
هوای دیروز چقدر سرد بود
هوا بارونیه",1
156,آیا هوای فردای تهران، بارانیست,1
157,هوای هفته‌ی آینده‌ی برلین چگونه خواهد بود,1
158,آیا پاییز امسال، برف می‌بارد,1
159,آیا پارسال پاییز، برف می‌بارید,1
160,آیا تابستان گرمی در راه است,1
161,فردا هوا سرده,1
162,هوای تهران کیری‌ست.,1
163,آیا فردا هوا بارانی است,1
164,دیروز در کدام شهر برف بارید,1
165,هوای ابری را دوست داری یا آفتابی,1
166,در این مه چطور رانندگی کنم,1
167,با این باران احتمال سیل چقدر است,1
168,فردا هوا آبی بارانی است,1
169,آیا میانگین بارندگی امسال از سال پیش بیشتر است,1
170,سرد ترین زمستان تاریخ ایران چه سالی بوده است,1
171,آلودگی هوای امروز چه قدر است,1
172,هوا چطوره,1
173,امروز بارون میاد,1
174,اولین برف پارسال کی بود,1
175,هوای تهران چند درجه است,1
176,وضعیت هوای هفته پیش رو چجوره,1
177,آیا ممکن است ۱۰ سال دیگر همین جا برف بیاید,1
178,بارون میاد,1
179,سرده,1
180,هوا دو نفره است.,1
181,هوای فردا  بارانیست,1
182,هوای محل زندگی تو چگونه است,1
183,هوای بارانی را دوست داری,1
184,میانگین درجه هوای امسال تهران در تابستان چند بوده است,1
185,هوای در هفته ی آینده رو به سردی پیش میرود,1
